codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
40211,INCIDENTE,RIO DE JANEIRO,RJ,****,03/01/2010,3,1,2010,PRCHE,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
40349,INCIDENTE,BELÉM,PA,SBBE,03/01/2010,3,1,2010,PRMAB,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,70000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
40351,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,03/01/2010,3,1,2010,PRMBW,AVIÃO,AIRBUS INDUSTRIE,A319-132,A319,JATO,BIMOTOR,75500,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,LEVE,0
39527,ACIDENTE,LUCAS DO RIO VERDE,MT,****,04/01/2010,4,1,2010,PTURT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,PARTICULAR,FAZENDA IRMÃOS MUNARETTO,FAZENDA IRMÃOS MUNARETTO,VOO A BAIXA ALTURA,SUBSTANCIAL,0
40324,INCIDENTE,PELOTAS,RS,SBPK,05/01/2010,5,1,2010,PPPSB,AVIÃO,EMBRAER,EMB-120ER,E120,TURBOÉLICE,BIMOTOR,11990,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
39807,INCIDENTE,SALVADOR,BA,****,06/01/2010,6,1,2010,PTBXF,AVIÃO,CESSNA AIRCRAFT,150E,C150,PISTÃO,MONOMOTOR,726,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
40215,INCIDENTE,COARI,AM,SBUY,07/01/2010,7,1,2010,PRTTH,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,18600,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
39707,INCIDENTE GRAVE,CANUTAMA,AM,****,09/01/2010,9,1,2010,PTEVH,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,PARTICULAR,EDUARDO GOMES,LÁBREA,CRUZEIRO,LEVE,0
39156,INCIDENTE GRAVE,CASCAVEL,PR,SBCA,10/01/2010,10,1,2010,PPPTO,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,REGULAR,AFONSO PENA,ADALBERTO MENDES DA SILVA,ARREMETIDA NO AR,LEVE,0
39711,INCIDENTE GRAVE,PARÁ DE MINAS,MG,****,10/01/2010,10,1,2010,PTZPJ,AVIÃO,ANTONIO CESAR DA SILVA AMARAL,LANCAIR SUPER E,ZZZZ,PISTÃO,MONOMOTOR,1452,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
39789,INCIDENTE,SÃO PEDRO DO SUL,RS,****,10/01/2010,10,1,2010,PTGPL,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,CHEQUE DE MOTOR OU ROTOR,LEVE,0
40069,ACIDENTE,SÃO PAULO,SP,SBMT,10/01/2010,10,1,2010,PPMAW,HELICÓPTERO,HELIBRAS,AS 350 B3,AS50,TURBOEIXO,MONOMOTOR,2250,PARTICULAR,FORA DE AERODROMO,UNICID - UNIVERSIDADE CIDADE DE SÃO PAULO,PARTIDA DO MOTOR,DESTRUÍDA,0
40414,INCIDENTE,BRASÍLIA,DF,SBBR,10/01/2010,10,1,2010,PRMAY,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,77000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,LEVE,0
39507,ACIDENTE,PRIMAVERA DO LESTE,MT,****,11/01/2010,11,1,2010,PTUTM,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,C.T.O. ITAÚ,FORA DE AERODROMO,OUTRA FASE,SUBSTANCIAL,0
40107,ACIDENTE,GURUPÁ,PA,SNGU,12/01/2010,12,1,2010,PTEOS,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,1542,TÁXI AÉREO,BREVES,GURUPÁ,POUSO,LEVE,0
