codigo_ocorrencia1,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano
40211,INCIDENTE,RIO DE JANEIRO,RJ,****,03/01/2010,03,01,2010
40349,INCIDENTE,BELÉM,PA,SBBE,03/01/2010,03,01,2010
40351,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,03/01/2010,03,01,2010
39527,ACIDENTE,LUCAS DO RIO VERDE,MT,****,04/01/2010,04,01,2010
40324,INCIDENTE,PELOTAS,RS,SBPK,05/01/2010,05,01,2010
39807,INCIDENTE,SALVADOR,BA,****,06/01/2010,06,01,2010
40215,INCIDENTE,COARI,AM,SBUY,07/01/2010,07,01,2010
39707,INCIDENTE GRAVE,CANUTAMA,AM,****,09/01/2010,09,01,2010
39156,INCIDENTE GRAVE,CASCAVEL,PR,SBCA,10/01/2010,10,01,2010
39711,INCIDENTE GRAVE,PARÁ DE MINAS,MG,****,10/01/2010,10,01,2010
39789,INCIDENTE,SÃO PEDRO DO SUL,RS,****,10/01/2010,10,01,2010
40069,ACIDENTE,SÃO PAULO,SP,SBMT,10/01/2010,10,01,2010
40414,INCIDENTE,BRASÍLIA,DF,SBBR,10/01/2010,10,01,2010
39507,ACIDENTE,PRIMAVERA DO LESTE,MT,****,11/01/2010,11,01,2010
40107,ACIDENTE,GURUPÁ,PA,SNGU,12/01/2010,12,01,2010
39315,ACIDENTE,CANUTAMA,AM,****,15/01/2010,15,01,2010
39809,INCIDENTE,SÃO PAULO,SP,****,15/01/2010,15,01,2010
39810,INCIDENTE,SALVADOR,BA,****,15/01/2010,15,01,2010
39828,INCIDENTE,SANTOS,SP,****,15/01/2010,15,01,2010
44575,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,17/01/2010,17,01,2010
40310,INCIDENTE,CRUZEIRO DO SUL,AC,SBCZ,18/01/2010,18,01,2010
39320,ACIDENTE,FAROL,PR,****,19/01/2010,19,01,2010
39851,INCIDENTE,PASSO FUNDO,RS,SBPF,19/01/2010,19,01,2010
40311,INCIDENTE,RIO DE JANEIRO,RJ,****,19/01/2010,19,01,2010
41577,INCIDENTE,RIO DE JANEIRO,RJ,****,19/01/2010,19,01,2010
39772,INCIDENTE,UBERLÂNDIA,MG,****,20/01/2010,20,01,2010
39847,INCIDENTE,SOROCABA,SP,****,20/01/2010,20,01,2010
39768,INCIDENTE,CAMPINAS,SP,****,21/01/2010,21,01,2010
