codigo_reporte;nome_especie;especie_especie;tamanho_sugerido
197;Quero-quero/tetéu;(Vanellus chilensis);M
198;Gaviões / Família accipitridae;Família accipitridae;
198;Quero-quero/tetéu;(Vanellus chilensis);M
199;Quero-quero/tetéu;(Vanellus chilensis);M
201;Urubus;Família Cathartidae;MG
205;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
209;Quero-quero/tetéu;(Vanellus chilensis);M
212;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
213;Quero-quero/tetéu;(Vanellus chilensis);M
214;Carcará/carancho;(Caracara plancus);G
215;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
217;Não identificado;Não identificado;P
218;Urubus;Família Cathartidae;MG
219;Urubus;Família Cathartidae;MG
220;Não identificado;Não identificado;P
221;Pombos / Rolinhas;Família Columbidae;
222;Urubus;Família Cathartidae;MG
224;Pombos / Rolinhas;Família Columbidae;
225;Não identificado;Não identificado;P
226;Não identificado;Não identificado;M
228;Quero-quero/tetéu;(Vanellus chilensis);M
231;Quero-quero/tetéu;(Vanellus chilensis);M
232;Carcará/carancho;(Caracara plancus);G
233;Carcará/carancho;(Caracara plancus);G
233;Quero-quero/tetéu;(Vanellus chilensis);M
234;Carcará/carancho;(Caracara plancus);G
235;Carcará/carancho;(Caracara plancus);G
236;Bem-te-vi;(Pitangus sulphuratus);P
237;Carcará/carancho;(Caracara plancus);G
238;Não identificado;Não identificado;
239;Bem- te-vis;Família Tyrannidae;P
240;Não identificado;Não identificado;M
241;Não identificado;Não identificado;
242;Urubus;Família Cathartidae;MG
243;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);G
244;Não identificado;Não identificado;M
245;xx Passeriformes pequenos;xx Passeriformes pequenos;MP
246;Não identificado;Não identificado;
247;Não identificado;Não identificado;M
248;Marreca-ananai/pé-vermelho;(Amazonetta brasiliensis);M
249;Carcará/carancho;(Caracara plancus);G
250;Quero-quero/tetéu;(Vanellus chilensis);M
251;Quero-quero/tetéu;(Vanellus chilensis);M
252;Não identificado;Não identificado;M
253;Pomba-de-bando/arribaçã/arribação;(Zenaida auriculata);P
255;Quero-quero/tetéu;(Vanellus chilensis);M
256;Não identificado;Não identificado;P
257;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
259;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
264;Não identificado;Não identificado;P
265;Não identificado;Não identificado;
266;Não identificado;Não identificado;
